"Total air emissions by greenhouse gas, sector and year"

"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",5813.0,5677.2,5522.7,5694.4,5714.1,5579.6,5585.3,5615.7,5658.7,5369.3,5308.6,5169.7,5106.2,5030.9,5031.8,4930.3,4864.0,4715.5,4821.9,4646.4,4801.4,4473.6,4377.7,4410.2,4519.0,4566.6,4537.4,4690.3,4512.2,4588.6,4652.7,4572.2,4624.7,4506.4
"Nitrous Oxide (N2O) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",5862.5,5727.8,5577.1,5750.2,5777.9,5644.4,5653.9,5695.5,5750.7,5462.4,5400.0,5258.5,5184.3,5128.0,5142.3,5045.2,4985.4,4837.1,4942.6,4768.8,4920.1,4580.0,4480.0,4509.0,4624.9,4679.8,4660.1,4828.8,4626.2,4718.3,4781.5,4696.1,4748.9,4610.2
"Nitrous Oxide (N2O) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",41.6,44.6,45.0,39.2,37.1,36.2,35.6,34.8,33.5,32.6,32.3,30.6,31.2,30.8,30.4,29.7,30.1,29.9,29.4,30.4,29.3,29.8,30.3,30.6,31.2,31.9,32.2,33.0,33.8,35.2,36.2,37.3,38.1,38.4
"Nitrous Oxide (N2O) (kt CO2-eqv.)","WASTE, TOTAL",206.0,207.1,207.9,210.3,212.9,217.2,213.0,209.2,207.2,207.8,208.5,207.2,206.7,208.9,208.4,222.7,222.6,224.8,228.1,231.5,227.3,234.9,225.7,222.0,217.8,212.0,212.2,210.3,203.2,206.9,211.8,211.4,210.3,205.5
"Nitrous Oxide (N2O) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",97.9,119.4,125.5,127.5,123.9,125.5,159.0,125.9,135.8,128.3,125.4,145.7,155.7,165.6,188.6,194.2,196.8,204.5,212.9,222.9,245.0,217.1,210.5,224.9,202.1,212.6,203.7,216.5,218.3,201.4,156.4,179.4,174.2,169.8
"Nitrous Oxide (N2O) (kt CO2-eqv.)","INDUSTRY, TOTAL",877.0,916.8,900.2,883.6,872.6,814.8,785.3,779.3,849.5,768.2,730.9,617.9,568.8,554.7,552.0,553.0,581.0,392.1,409.1,435.4,450.2,212.3,236.0,221.8,223.8,206.5,222.6,217.0,200.3,201.2,175.0,181.2,176.6,169.0
"Nitrous Oxide (N2O) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",156.1,154.1,167.5,179.1,179.0,193.7,190.3,198.6,181.1,187.3,131.1,119.3,111.8,106.6,102.5,101.6,98.7,96.0,98.5,99.1,105.3,108.1,117.4,124.2,131.4,142.4,155.1,164.0,175.5,176.1,167.3,171.4,173.6,169.1
"Nitrous Oxide (N2O) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",49.6,50.6,54.4,55.8,63.8,64.8,68.6,79.8,92.0,93.1,91.4,88.8,78.1,97.1,110.5,114.8,121.4,121.6,120.7,122.4,118.8,106.4,102.3,98.8,105.9,113.1,122.7,138.5,114.1,129.7,128.8,123.9,124.2,103.8
"Nitrous Oxide (N2O) (kt CO2-eqv.)","AGRICULTURE, TOTAL",3172.1,2993.7,2828.0,3005.1,3052.2,2926.4,2925.9,2993.3,2980.6,2774.3,2818.4,2794.6,2771.4,2701.3,2685.4,2568.1,2494.2,2547.5,2633.5,2445.8,2529.1,2527.2,2457.0,2503.3,2608.5,2633.6,2588.0,2670.3,2495.5,2569.8,2698.7,2563.5,2612.0,2513.5
"Nitrous Oxide (N2O) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",77.1,76.1,92.0,91.7,81.9,105.7,117.4,121.1,123.2,115.0,104.4,101.2,108.7,116.6,125.0,116.7,112.2,98.2,105.2,92.8,107.1,84.0,82.1,68.4,76.0,78.6,67.8,104.0,78.8,74.6,71.6,68.5,65.5,62.4
"Nitrous Oxide (N2O) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",64.4,64.9,63.6,65.4,62.8,64.1,64.8,60.1,55.3,54.5,55.0,52.2,53.5,57.9,56.3,56.1,52.4,55.6,55.5,58.7,57.9,58.8,57.4,55.3,51.3,51.0,52.4,52.8,46.4,45.5,45.1,45.7,43.2,43.2
"Nitrous Oxide (N2O) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",1120.8,1100.6,1093.2,1092.5,1091.7,1095.9,1094.0,1093.3,1092.5,1101.3,1102.7,1100.9,1098.4,1088.5,1083.1,1088.2,1075.9,1066.8,1049.8,1029.7,1050.3,1001.3,961.3,959.7,976.8,998.0,1003.4,1022.3,1060.4,1077.9,1090.6,1113.9,1131.2,1135.4
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",8472.9,8466.6,8615.9,8586.2,8515.0,8418.0,8431.6,8360.1,8242.3,8030.3,7847.4,7772.9,7488.6,7249.5,7275.8,7055.3,6924.9,6639.2,6328.1,6161.7,6045.2,5866.9,5657.6,5550.0,5394.7,5259.9,5192.1,5149.4,5050.5,4896.1,4811.3,4759.3,4710.9,4643.9
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",8473.8,8467.5,8616.7,8587.1,8516.0,8419.3,8432.8,8361.4,8243.8,8031.8,7848.8,7774.2,7489.7,7250.9,7277.5,7057.0,6926.8,6641.1,6330.2,6163.7,6047.1,5868.7,5659.3,5551.7,5396.4,5261.4,5193.8,5151.3,5061.9,4909.4,4824.9,4774.2,4722.6,4664.8
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",9088.5,9077.7,9223.5,9191.2,9119.0,9018.7,9028.0,8963.7,8829.7,8620.2,8433.6,8356.3,8070.6,7828.9,7850.4,7627.7,7500.2,7197.3,6889.7,6700.1,6579.6,6392.7,6169.4,6062.6,5935.5,5766.0,5701.2,5658.7,5625.9,5416.5,5331.6,5283.7,5246.7,5179.3
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",9089.5,9078.6,9224.3,9192.2,9120.0,9020.0,9029.2,8965.0,8831.2,8621.7,8435.1,8357.6,8071.7,7830.3,7852.1,7629.4,7502.1,7199.1,6891.8,6702.1,6581.5,6394.4,6171.1,6064.3,5937.2,5767.5,5702.9,5660.5,5637.3,5429.7,5345.1,5298.7,5258.3,5200.2
"Methane (CH4) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",14.1,14.2,14.2,13.7,13.7,13.7,13.6,13.6,13.6,13.6,13.4,13.2,13.3,13.3,13.4,13.1,14.3,14.8,14.9,14.4,13.7,12.7,11.7,10.8,10.3,9.9,9.8,9.7,9.5,9.3,9.1,9.0,8.7,8.0
"Methane (CH4) (kt CO2-eqv.)","WASTE, TOTAL",4025.2,4088.8,4095.2,3969.5,3819.4,3815.0,3784.1,3749.1,3694.3,3548.3,3445.3,3387.4,3179.1,3009.2,2978.6,2807.3,2706.7,2495.6,2192.3,2076.7,1954.1,1825.0,1670.4,1553.4,1421.5,1308.4,1222.7,1153.8,1067.6,968.7,907.9,817.8,781.5,734.2
"Methane (CH4) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",11.4,13.7,13.9,17.1,19.7,21.8,29.3,24.5,26.6,26.5,25.6,30.8,32.9,35.6,36.9,40.3,41.1,42.1,46.3,49.7,56.2,48.7,49.8,50.0,45.3,46.0,49.7,50.0,50.0,49.6,44.2,53.9,51.8,50.7
"Methane (CH4) (kt CO2-eqv.)","INDUSTRY, TOTAL",175.2,191.6,194.5,196.6,201.1,186.9,183.7,180.0,183.7,178.8,171.6,185.7,177.1,157.3,171.2,162.4,160.5,164.0,147.4,149.9,151.4,141.3,143.1,134.5,123.1,117.5,122.6,116.0,128.2,109.0,110.4,116.5,107.8,102.4
"Methane (CH4) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",181.7,189.8,177.6,155.6,161.6,148.8,145.4,131.9,125.2,116.5,103.4,96.8,90.0,84.1,77.8,73.0,67.8,62.7,58.4,54.7,51.8,46.4,37.2,35.2,33.4,33.4,34.3,33.4,33.7,44.2,52.9,59.4,46.7,37.1
"Methane (CH4) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",0.9,0.9,0.9,0.9,1.1,1.3,1.2,1.3,1.5,1.5,1.4,1.3,1.1,1.4,1.7,1.7,1.9,1.8,2.0,2.0,1.9,1.8,1.7,1.6,1.7,1.5,1.7,1.9,11.4,13.3,13.5,15.0,11.7,20.9
"Methane (CH4) (kt CO2-eqv.)","AGRICULTURE, TOTAL",3943.9,3844.3,3996.0,4108.4,4177.1,4102.6,4145.7,4140.0,4084.1,4043.4,3985.6,3963.3,3899.4,3851.9,3900.0,3863.0,3837.3,3770.5,3782.6,3729.2,3732.6,3706.5,3665.9,3687.6,3686.6,3674.2,3681.0,3716.6,3701.5,3654.3,3628.5,3642.3,3660.8,3658.5
"Methane (CH4) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Methane (CH4) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",121.3,124.1,124.4,125.3,122.3,129.3,129.9,121.1,114.8,103.3,102.6,95.7,96.8,98.0,97.8,96.2,97.1,89.7,86.2,87.0,85.4,86.2,79.5,78.6,74.5,70.5,72.0,69.7,60.0,61.0,58.3,60.4,53.7,52.9
"Methane (CH4) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",615.7,611.1,607.6,605.0,604.0,600.7,596.4,603.6,587.4,589.9,586.2,583.4,582.0,579.4,574.6,572.3,575.3,558.1,561.6,538.4,534.4,525.8,511.7,512.6,540.9,506.1,509.1,509.3,575.5,520.3,520.3,524.5,535.7,535.4
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",17706.4,17270.4,16715.3,17365.6,17442.8,16919.4,16948.2,17065.5,17230.9,16105.7,15871.5,15354.1,15123.8,14877.0,14900.7,14498.4,14294.6,13768.8,14234.5,13647.8,14155.1,13102.9,12892.1,13021.0,13366.9,13466.4,13335.9,13841.4,13025.7,13247.7,13441.9,13050.2,13183.2,12720.4
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (excluding LULUCF, including international transports)",17893.5,17461.4,16920.7,17576.1,17683.7,17164.1,17206.9,17366.7,17578.2,16457.0,16216.3,15689.0,15418.5,15243.4,15317.6,14931.8,14752.9,14227.7,14690.1,14109.6,14603.3,13504.5,13278.2,13393.8,13766.5,13893.2,13798.9,14364.0,13456.1,13737.1,13927.9,13517.6,13651.8,13112.2
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (including LULUCF, excluding international transports)",21935.7,21423.5,20840.4,21488.3,21562.6,21055.0,21076.7,21191.2,21353.6,20261.6,20032.5,19508.3,19268.6,18984.6,18988.0,18605.0,18354.7,17794.4,18195.9,17533.6,18118.4,16881.4,16519.6,16642.4,17052.8,17232.6,17122.3,17699.2,17027.1,17315.3,17557.3,17253.7,17451.8,17005.1
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (including LULUCF, including international transports)",22122.8,21614.5,21045.8,21698.8,21803.5,21299.7,21335.4,21492.4,21700.8,20612.9,20377.3,19843.3,19563.3,19351.0,19404.9,19038.4,18813.0,18253.4,18651.4,17995.4,18566.6,17283.0,16905.7,17015.2,17452.4,17659.4,17585.3,18221.8,17457.5,17804.8,18043.3,17721.1,17920.3,17396.8
"Nitrous Oxide (N2O) (t)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",157.0,168.1,169.8,148.0,139.9,136.5,134.5,131.5,126.3,122.9,121.8,115.5,117.6,116.4,114.8,112.1,113.6,112.8,110.8,114.9,110.7,112.5,114.3,115.6,117.8,120.2,121.6,124.5,127.5,132.9,136.4,140.6,143.6,145.0
"Nitrous Oxide (N2O) (t)","WASTE, TOTAL",777.5,781.4,784.7,793.8,803.4,819.5,803.7,789.3,781.8,784.1,786.8,782.0,779.9,788.3,786.3,840.4,840.2,848.1,860.7,873.6,857.6,886.6,851.7,837.9,821.9,800.1,800.6,793.6,766.9,780.6,799.4,797.7,793.6,775.3
"Nitrous Oxide (N2O) (t)","ELECTRICITY AND DISTRICT HEATING, TOTAL",369.3,450.6,473.5,481.2,467.5,473.5,599.9,475.2,512.4,484.2,473.3,549.8,587.6,624.9,711.8,732.9,742.6,771.8,803.2,841.2,924.7,819.1,794.5,848.8,762.6,802.3,768.7,816.9,823.8,760.0,590.0,677.0,657.4,640.9
"Nitrous Oxide (N2O) (t)","INDUSTRY, TOTAL",3309.4,3459.7,3396.9,3334.4,3292.7,3074.7,2963.5,2940.9,3205.7,2898.9,2758.1,2331.8,2146.4,2093.3,2083.2,2086.9,2192.5,1479.7,1543.9,1643.1,1698.7,801.1,890.5,836.9,844.6,779.4,840.0,818.9,755.8,759.3,660.5,683.8,666.5,637.6
"Nitrous Oxide (N2O) (t)","DOMESTIC TRANSPORT, TOTAL",588.9,581.4,632.0,675.7,675.6,731.1,718.1,749.3,683.4,706.8,494.6,450.3,421.9,402.4,386.7,383.2,372.6,362.3,371.8,374.1,397.2,407.9,443.0,468.7,495.9,537.3,585.1,619.0,662.1,664.4,631.4,646.7,655.2,638.0
"Nitrous Oxide (N2O) (t)","INTERNATIONAL TRANSPORT, TOTAL",187.1,191.0,205.4,210.5,240.9,244.7,258.7,301.2,347.2,351.4,344.8,334.9,294.7,366.3,416.9,433.4,458.3,459.0,455.5,461.8,448.2,401.6,386.1,372.8,399.6,426.8,463.0,522.6,430.4,489.5,486.0,467.4,468.6,391.7
"Nitrous Oxide (N2O) (t)","AGRICULTURE, TOTAL",11970.2,11296.9,10671.7,11340.0,11517.8,11043.2,11041.1,11295.3,11247.7,10469.0,10635.4,10545.7,10458.2,10193.6,10133.7,9691.0,9411.9,9613.3,9937.7,9229.4,9543.7,9536.6,9271.8,9446.4,9843.5,9938.1,9766.1,10076.8,9417.1,9697.2,10183.9,9673.6,9856.8,9485.0
"Nitrous Oxide (N2O) (t)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",291.0,287.3,347.0,346.0,309.0,399.0,443.0,457.0,465.0,434.0,394.0,382.0,410.1,439.9,471.5,440.2,423.5,370.8,396.9,350.0,404.1,317.1,309.8,258.2,286.8,296.5,255.9,392.4,297.3,281.5,270.0,258.5,247.0,235.5
"Nitrous Oxide (N2O) (t)","HEATING OF HOUSES AND PREMISES, TOTAL",243.1,244.9,239.8,246.6,236.9,241.9,244.5,227.0,208.5,205.7,207.5,197.1,202.0,218.3,212.6,211.7,197.7,209.9,209.6,221.5,218.5,222.0,216.6,208.6,193.7,192.5,197.7,199.3,175.1,171.7,170.3,172.3,163.2,163.2
"Nitrous Oxide (N2O) (t)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",4229.3,4153.1,4125.1,4122.7,4119.7,4135.6,4128.4,4125.7,4122.6,4155.9,4161.0,4154.2,4144.8,4107.6,4087.3,4106.6,4060.1,4025.6,3961.4,3885.8,3963.3,3778.5,3627.5,3621.4,3685.9,3766.2,3786.4,3857.8,4001.4,4067.7,4115.4,4203.5,4268.5,4284.7
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",5.9,10.2,11.7,28.3,69.2,128.7,215.6,353.0,457.8,602.5,725.4,803.8,880.8,947.4,1022.3,1044.9,1067.8,1072.5,1087.5,1084.1,1063.7,1038.9,1022.8,1013.8,1039.1,1058.5,1076.5,1041.4,986.4,937.5,889.4,851.9,817.3,758.4
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",5.9,10.2,11.7,28.3,69.2,128.7,215.6,353.0,457.8,602.5,725.4,803.8,880.8,947.4,1022.3,1044.9,1067.8,1072.5,1087.5,1084.1,1063.7,1038.9,1022.8,1013.8,1039.1,1058.5,1076.5,1041.4,986.4,937.5,889.4,851.9,817.3,758.4
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",5.9,10.2,11.7,28.3,69.2,128.7,215.6,353.0,457.8,602.5,725.4,803.8,880.8,947.4,1022.3,1044.9,1067.8,1072.5,1087.5,1084.1,1063.7,1038.9,1022.8,1013.8,1039.1,1058.5,1076.5,1041.4,986.4,937.5,889.4,851.9,817.3,758.4
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",5.9,10.2,11.7,28.3,69.2,128.7,215.6,353.0,457.8,602.5,725.4,803.8,880.8,947.4,1022.3,1044.9,1067.8,1072.5,1087.5,1084.1,1063.7,1038.9,1022.8,1013.8,1039.1,1058.5,1076.5,1041.4,986.4,937.5,889.4,851.9,817.3,758.4
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","INDUSTRY, TOTAL",..,0.2,0.2,0.2,0.4,0.4,0.6,0.5,0.5,0.2,0.2,0.3,0.4,0.2,0.1,..,..,..,..,..,..,..,0.2,0.2,..,..,..,0.3,0.4,0.9,0.7,0.9,0.8,0.8
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",5.9,10.0,11.5,28.1,68.8,128.3,215.0,352.6,457.3,602.4,725.2,803.5,880.5,947.2,1022.2,1044.9,1067.8,1072.5,1087.5,1084.1,1063.7,1038.9,1022.6,1013.6,1039.1,1058.5,1076.5,1041.1,986.0,936.5,888.7,851.0,816.5,757.5
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",510.9,515.5,349.8,407.1,435.7,478.3,422.2,390.1,378.5,408.5,338.2,331.9,366.8,364.4,360.9,365.5,353.3,361.0,316.2,44.8,169.2,193.7,70.9,46.2,73.9,31.7,28.1,32.9,55.7,44.4,58.7,44.7,34.4,31.3
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",510.9,515.5,349.8,407.1,435.7,478.3,422.2,390.1,378.5,408.5,338.2,331.9,366.8,364.4,360.9,365.5,353.3,361.0,316.2,44.8,169.2,193.7,70.9,46.2,73.9,31.7,28.1,32.9,55.7,44.4,58.7,44.7,34.4,31.3
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",510.9,515.5,349.8,407.1,435.7,478.3,422.2,390.1,378.5,408.5,338.2,331.9,366.8,364.4,360.9,365.5,353.3,361.0,316.2,44.8,169.2,193.7,70.9,46.2,73.9,31.7,28.1,32.9,55.7,44.4,58.7,44.7,34.4,31.3
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",510.9,515.5,349.8,407.1,435.7,478.3,422.2,390.1,378.5,408.5,338.2,331.9,366.8,364.4,360.9,365.5,353.3,361.0,316.2,44.8,169.2,193.7,70.9,46.2,73.9,31.7,28.1,32.9,55.7,44.4,58.7,44.7,34.4,31.3
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","INDUSTRY, TOTAL",510.9,515.5,349.8,407.1,435.7,477.9,420.5,387.0,375.1,404.6,333.6,327.3,361.2,358.2,354.7,360.0,343.2,346.3,301.7,35.5,165.8,191.3,69.2,44.8,72.7,30.8,27.4,32.4,55.4,44.3,58.7,44.7,34.4,31.3
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,0.4,1.7,3.0,3.4,3.9,4.6,4.6,5.6,6.2,6.2,5.5,10.2,14.7,14.5,9.3,3.4,2.3,1.8,1.4,1.1,0.9,0.7,0.5,0.3,0.1,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1502.7,1626.6,1686.1,1641.0,1616.3
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (excluding LULUCF, including international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1502.7,1626.6,1686.1,1641.0,1616.3
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (including LULUCF, excluding international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1502.7,1626.6,1686.1,1641.0,1616.3
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (including LULUCF, including international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1446.6,1502.7,1626.6,1686.1,1641.0,1616.3
"Sulphur Hexafluoride (SF6) (kg)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","INDUSTRY, TOTAL",1000.0,1033.8,1033.8,1033.8,1167.5,1204.0,1404.0,1839.1,1670.2,1668.9,2268.9,2440.8,2835.2,1555.7,1737.5,4178.1,3219.1,4735.2,2001.3,1222.4,1433.6,1098.8,1072.0,490.9,690.7,755.4,868.4,563.4,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
