"Total air emissions by greenhouse gas, sector and year"

"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total Greenhouse Gases (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",-59340.2,-58350.3,-57442.7,-53607.3,-55156.8,-55276.3,-57414.3,-58769.6,-59397.0,-59699.2,-60996.2,-61915.4,-61572.0,-59876.0,-56581.7,-58237.8,-62832.2,-63728.6,-61667.0,-61094.1,-61801.1,-60929.4,-59124.8,-59017.5,-57781.4,-55316.6,-52441.6,-46372.1,-39780.8,-39767.4,-39351.3,-36666.5,-33614.0,-31223.6
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",57416.5,57664.0,57509.8,57516.8,59997.4,59487.3,63349.0,58355.3,58767.2,55936.6,54892.4,55782.3,56633.8,57221.0,56427.5,53787.5,53650.8,52878.8,50765.4,47143.3,53028.6,49113.8,46606.9,45105.9,43384.7,43310.1,43308.4,42355.4,41856.0,40772.5,36622.2,38568.0,36120.6,35543.5
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (excluding LULUCF, including international transports)",61105.0,61377.5,61367.1,61625.7,64737.2,64305.3,68392.0,64204.0,65481.1,62813.6,61673.2,62397.9,62414.6,64424.1,64742.3,62380.0,62746.8,62096.6,60045.6,56495.9,62005.0,57159.3,54297.3,52548.7,51287.5,51260.6,52186.3,52439.1,50421.3,50444.4,45844.8,47042.9,44916.1,42989.2
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (including LULUCF, excluding international transports)",-3660.1,-2398.0,-1633.6,2212.0,3144.9,2514.3,4244.3,-2111.1,-2309.7,-5453.9,-7792.7,-7817.4,-6618.6,-4323.0,-1811.9,-6111.0,-10832.6,-12474.6,-12512.9,-15518.9,-10357.2,-13342.7,-13990.9,-15383.9,-15914.3,-13510.6,-10645.7,-5548.2,439.4,-593.2,-4339.9,263.1,839.7,2649.1
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (including LULUCF, including international transports)",28.4,1315.5,2223.6,6320.9,7884.7,7332.3,9287.3,3737.6,4404.2,1423.1,-1011.9,-1201.8,-837.8,2880.2,6502.8,2481.6,-1736.7,-3256.8,-3232.7,-6166.4,-1380.7,-5297.1,-6300.5,-7941.0,-8011.5,-5560.2,-1767.8,4535.4,9004.7,9078.8,4882.6,8738.1,9635.2,10094.8
"Carbon Dioxide (CO2) (kt)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",3626.8,3714.7,4117.4,3877.2,3911.4,3698.0,3556.4,3588.4,3571.1,3384.9,3203.6,3078.7,3250.0,3271.1,3289.6,3288.1,3269.8,3205.6,3128.3,3196.7,3236.1,3209.7,3121.7,3039.0,2930.3,2948.9,2749.1,2717.3,2616.0,2779.3,2782.9,2842.8,2545.3,2659.5
"Carbon Dioxide (CO2) (kt)","WASTE, TOTAL",43.9,52.2,58.3,48.0,49.1,42.7,49.1,50.6,49.2,48.2,44.4,47.5,60.7,81.3,94.3,94.9,88.9,98.5,102.7,105.5,100.2,105.4,126.3,123.8,122.2,118.8,123.3,132.3,127.9,119.8,112.9,126.8,111.2,115.9
"Carbon Dioxide (CO2) (kt)","ELECTRICITY AND DISTRICT HEATING, TOTAL",6305.0,7250.3,7724.3,7606.1,8209.0,7353.2,11383.4,6958.0,7730.5,6028.5,4757.1,5563.6,6565.7,7549.7,6472.8,5553.2,5633.2,5453.3,5078.8,6247.3,8226.2,6016.5,5410.2,5281.0,4144.8,4303.9,4688.3,4150.5,4575.8,4170.0,3183.7,3838.8,3772.2,3580.1
"Carbon Dioxide (CO2) (kt)","INDUSTRY, TOTAL",19049.0,18681.0,17537.6,18658.1,19891.6,20712.1,20836.9,20912.5,20593.9,19680.3,20281.9,21148.5,20899.6,20567.0,20691.3,19884.4,20404.0,19767.5,19103.6,15016.9,18493.3,17584.3,16969.5,16208.5,16247.6,16042.9,16564.5,16607.6,16611.2,15978.9,14298.8,15429.3,14910.1,14483.1
"Carbon Dioxide (CO2) (kt)","DOMESTIC TRANSPORT, TOTAL",18981.9,18839.8,19747.2,18989.4,19601.7,19689.9,19453.3,19539.5,19672.8,20010.8,19928.6,20070.6,20532.7,20753.7,21119.5,21396.9,21356.7,21640.7,21181.6,20689.3,20869.0,20500.8,19348.9,18924.1,18500.1,18576.3,17899.5,17496.4,16793.6,16653.8,15254.7,15248.1,13731.1,13649.4
